file,line,text
Views\Dialogs\CameraCaptureDialog.xaml,176,"Text=""单视角"" />"
Views\Dialogs\CameraCaptureDialog.xaml,183,"Text=""双视角"" />"
Views\Dialogs\CameraCaptureDialog.xaml,201,"Text=""单视角"" />"
Views\Dialogs\CameraCaptureDialog.xaml,208,"<Setter TargetName=""SwitchText"" Property=""Text"" Value=""双视角"" />"
Views\Dialogs\CameraCaptureDialog.xaml,454,"Text=""相机视频采集"" />"
Views\Dialogs\CameraCaptureDialog.xaml,463,"ToolTip=""关闭"">"
Views\Dialogs\CameraCaptureDialog.xaml,484,"<TextBlock Style=""{StaticResource CameraSectionTitleStyle}"" Text=""采集参数"" />"
Views\Dialogs\CameraCaptureDialog.xaml,499,"<TextBlock Style=""{StaticResource CameraFieldLabelStyle}"" Text=""当前模式"" />"
Views\Dialogs\CameraCaptureDialog.xaml,511,"<TextBlock Style=""{StaticResource CameraFieldLabelStyle}"" Text=""录制分辨率"" />"
Views\Dialogs\CameraCaptureDialog.xaml,524,"<TextBlock Style=""{StaticResource CameraFieldLabelStyle}"" Text=""录制帧率"" />"
Views\Dialogs\CameraCaptureDialog.xaml,537,"<TextBlock Style=""{StaticResource CameraFieldLabelStyle}"" Text=""录制时长"" />"
Views\Dialogs\CameraCaptureDialog.xaml,590,"<TextBlock Style=""{StaticResource CameraSectionTitleStyle}"" Text=""侧面相机"" />"
Views\Dialogs\CameraCaptureDialog.xaml,612,"ToolTip=""刷新相机状态"">"
Views\Dialogs\CameraCaptureDialog.xaml,622,"Content=""修改"""
Views\Dialogs\CameraCaptureDialog.xaml,624,"<TextBlock Style=""{StaticResource CameraMetaTextStyle}"" Text=""相机ID："" />"
Views\Dialogs\CameraCaptureDialog.xaml,749,"Content=""横向"""
Views\Dialogs\CameraCaptureDialog.xaml,755,"Content=""纵向"""
Views\Dialogs\CameraCaptureDialog.xaml,761,"Content=""上下翻转"""
Views\Dialogs\CameraCaptureDialog.xaml,796,"<TextBlock Style=""{StaticResource CameraSectionTitleStyle}"" Text=""正面相机"" />"
Views\Dialogs\CameraCaptureDialog.xaml,818,"ToolTip=""刷新相机状态"">"
Views\Dialogs\CameraCaptureDialog.xaml,828,"Content=""修改"""
Views\Dialogs\CameraCaptureDialog.xaml,830,"<TextBlock Style=""{StaticResource CameraMetaTextStyle}"" Text=""相机ID："" />"
Views\Dialogs\CameraCaptureDialog.xaml,955,"Content=""横向"""
Views\Dialogs\CameraCaptureDialog.xaml,961,"Content=""纵向"""
Views\Dialogs\CameraCaptureDialog.xaml,967,"Content=""上下翻转"""
Views\Dialogs\CameraCaptureDialog.xaml,994,"Content=""确定"""
Views\Dialogs\CameraCaptureDialog.xaml,1010,"<TextBlock Style=""{StaticResource CameraSectionTitleStyle}"" Text=""修改相机编号"" />"
Views\Dialogs\CameraCaptureDialog.xaml,1013,"materialDesign:HintAssist.Hint=""DirectShow 相机设备名"""
Views\Dialogs\CameraCaptureDialog.xaml,1020,"Content=""取消"""
Views\Dialogs\CameraCaptureDialog.xaml,1025,"Content=""确认"""
Views\Dialogs\DepartmentEditDialog.xaml,197,"<Run Text=""科室名称"" />"
Views\Dialogs\DepartmentEditDialog.xaml,206,"<TextBlock Style=""{StaticResource DepartmentLabelStyle}"" Text=""科室代码"" />"
Views\Dialogs\DepartmentEditDialog.xaml,218,"Text=""描述"" />"
Views\Dialogs\DepartmentEditDialog.xaml,245,"Content=""取消"""
Views\Dialogs\DepartmentEditDialog.xaml,250,"Content=""确认"""
Views\Dialogs\MeasurementDetailDialog.xaml,351,"Text=""导出"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,372,"Text=""报告预览"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,380,"Text=""分析结果详情"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,393,"Text=""关闭"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,421,"<TextBlock Style=""{StaticResource SectionHeaderTextStyle}"" Text=""基本信息"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,424,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""患者"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,429,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""身高"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,434,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""测量类型"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,439,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""分析模式"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,444,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""测量时间"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,456,"<TabItem Header=""总体情况页"">"
Views\Dialogs\MeasurementDetailDialog.xaml,466,"<TextBlock Style=""{StaticResource MetricLabelTextStyle}"" Text=""步态周期"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,472,"<TextBlock Style=""{StaticResource MetricLabelTextStyle}"" Text=""平均步长"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,478,"<TextBlock Style=""{StaticResource MetricLabelTextStyle}"" Text=""平均步幅"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,484,"<TextBlock Style=""{StaticResource MetricLabelTextStyle}"" Text=""平均步频"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,490,"<TextBlock Style=""{StaticResource MetricLabelTextStyle}"" Text=""平均步速"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,511,"<TextBlock Style=""{StaticResource SectionHeaderTextStyle}"" Text=""结果摘要"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,527,"Text=""有效帧比例"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,537,"Text=""结果预览说明"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,543,"Text=""当前展示本次步态分析的概要数据，详细曲线与视频内容可通过页签切换查看。"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,556,"<TextBlock Style=""{StaticResource SectionHeaderTextStyle}"" Text=""分析基础信息"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,575,"Text=""分析时间"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,585,"Text=""分析状态"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,596,"Text=""测量名称"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,607,"Text=""任务编号"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,618,"Text=""分析耗时"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,638,"<TextBlock Style=""{StaticResource SectionHeaderTextStyle}"" Text=""文件与输出摘要"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,656,"Text=""结果文件数量"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,661,"Text=""{Binding FileCountDisplay, TargetNullValue=暂无结果文件}"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,666,"Text=""标注视频"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,671,"Text=""{Binding AnnotatedVideoDisplay, TargetNullValue=未生成标注视频}"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,676,"Text=""摘要文件"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,682,"Text=""{Binding SummaryFileDisplay, TargetNullValue=未生成 summary.json}"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,688,"Text=""输出目录"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,702,"<TabItem Header=""参数显示页"">"
Views\Dialogs\MeasurementDetailDialog.xaml,725,"<TextBlock Style=""{StaticResource SectionHeaderTextStyle}"" Text=""时空参数"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,730,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""步态周期"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,737,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""步长"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,744,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""步幅"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,751,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""步频"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,758,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""步速"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,765,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""站立相时间"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,772,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""摆动相时间"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,779,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""双支撑时间"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,786,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""单支撑时间"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,804,"<TextBlock Style=""{StaticResource SectionHeaderTextStyle}"" Text=""运动学参数"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,809,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""左髋 ROM"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,816,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""右髋 ROM"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,823,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""左膝 ROM"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,830,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""右膝 ROM"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,837,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""左踝 ROM"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,844,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""右踝 ROM"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,851,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""骨盆冠状面角度"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,877,"<TextBlock Style=""{StaticResource SectionHeaderTextStyle}"" Text=""躯干和骨盆参数"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,882,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""躯干倾斜平均角度"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,889,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""躯干倾斜最大角度"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,896,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""躯干倾斜最小角度"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,903,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""躯干倾斜活动范围"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,910,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""骨盆倾斜角"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,928,"<TextBlock Style=""{StaticResource SectionHeaderTextStyle}"" Text=""对称性分析"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,933,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""左右步长差"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,940,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""左右步长差百分比"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,947,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""膝关节 ROM 差"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,954,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""髋关节 ROM 差"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,961,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""踝关节 ROM 差"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,968,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""综合对称性评分"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,987,"<TextBlock Style=""{StaticResource SectionHeaderTextStyle}"" Text=""左右侧参数"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,992,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""左侧步幅"" />"
Views\Dialogs\MeasurementDetailDialog.xaml,999,"<TextBlock Style=""{StaticResource InfoLabelTextStyle}"" Text=""右侧步幅"" />"
